| 09-24-2017 | 14:54:56.602 | 47044 | 1 |        logapi.m |  486 | LogRecordInitialSettings |     none |        none | LOG START: App Version 12.6.0 (532443)
| 09-24-2017 | 14:54:56.603 | 47044 | 1 |        logapi.m |  489 | LogRecordInitialSettings |     none |        none | LOG START: OS Version 10.10.2 (Build 14C2043)
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  492 | LogRecordInitialSettings |     none |        none | LOG START: Client UUID 9736A8CE-9B3C-46F3-AA32-25C3B9883476
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  495 | LogRecordInitialSettings |     none |        none | LOG START: Logging Mode: TRACE_MODE_OFF
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  498 | LogRecordInitialSettings |     none |        none | LOG START: Buffer Size: 65536
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  501 | LogRecordInitialSettings |     none |        none | LOG START: LogMaxNumberOfLogFiles: 10
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  504 | LogRecordInitialSettings |     none |        none | LOG START: LogCGPCoreTraceLevel (0) CGP_TRACE_ERROR
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  508 | LogRecordInitialSettings |     none |        none | LOG START: Initial Features (0x00000000)  TW_SSB TT_L1 LOG_KEYBOARD TW_PACKET TW_RLESTATS TW_STROKE TW_TEXT LOG_ERRORS TT_CONFIG TW_XLATEOBJ TW_PTRMOVE TW_BRUSH TT_ICOOK TT_EUEMSTARTUP TW_DIM TT_IFRAME LOG_TRANSMIT TT_L4 TT_MEM TT_API4 TT_IRAW TW_CONNECT TT_L2 LOG_RECEIVE TT_CONNECT TW_DITHER LOG_CONNECT TW_PAINT TT_API3 TT_ORAW TT_ACR TW_BLT TT_IFRAME2 TT_CONFIG2 TW_BLTTRICK TW_CACHE TW_CLIPCMPLX TT_API2 TT_OFRAME TW_ENTRY TW_LOWCACHE TW_COPY TW_ERROR TT_OFRAME2 TW_FILL TW_PALETTE TW_PROTO TT_L3 TW_PTRSHAPE TT_OCOOK TT_API1
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  512 | LogRecordInitialSettings |     none |        none | LOG START: Initial Flags (0x00000002)  LOG_APPEND LOG_FLUSH
| 09-24-2017 | 14:54:56.606 | 47044 | 1 |        logapi.m |  516 | LogRecordInitialSettings |     none |        none | LOG START: Initial Classes (0x00000000)  TC_FONT TC_CDM TC_DEVELOP TC_TW TC_GUSB TC_EUEM TC_VD TC_SCARDVD TC_CAM TC_ZLC TC_MONITORS TC_TCPPROXY TC_TD TC_WFSHELL TC_RELI TC_RECONNECT TC_MOU TC_CPM TC_TWI TC_PD TC_KEY TC_TW1 TC_FRAME LOG_CLASS TC_UDT LOG_ASSERT TC_NCS TC_WD TC_SRCC TC_CGP TC_SPB TC_CTL TC_VP TC_SSLSDK TC_CCM TC_CM TC_PROXY TC_CGPCORE TC_LIB TC_CLIP TC_WENG
| 09-24-2017 | 14:54:57.412 | 47044 | 1 | mac_NCS_config.c |  208 |  NCS_ReadConfig |   TC_LIB |     TT_API1 | Encryption level Basic is enabled
| 09-24-2017 | 14:54:57.691 | 47044 | 1 |        logapi.m |  627 |        LogClose |     none |        none | LOG STOP
